name,pr,best_tp,best_tn,best_fp,best_fn
machine-1-1.txt,0.41452710614731886,313,4427,371,544
machine-1-2.txt,0.15075929833016405,286,2701,1506,205
machine-1-3.txt,0.26327554768728995,321,3199,862,318
machine-1-4.txt,0.2597767604551241,218,3514,564,405
machine-1-5.txt,0.6470853160834303,165,4401,0,135
machine-1-6.txt,0.6985191499364062,1600,880,1931,286
machine-1-7.txt,0.32550429005685494,710,2757,983,249
machine-1-8.txt,0.27586124815481927,645,1831,1955,268
machine-2-1.txt,0.2310308754318153,231,3424,522,521
machine-2-2.txt,0.14100948915588912,990,0,3709,0
machine-2-3.txt,0.4663367302423434,159,4244,14,280
machine-2-4.txt,0.452969502048874,764,2641,946,346
machine-2-5.txt,0.3687164284463479,602,3075,641,379
machine-2-6.txt,0.0390146073590973,365,11,5332,0
